country_name,building_count,highway_count
Tajikistan,13,0
Tanzania,95976,17406
Thailand,2,3
Timor-Leste,0,0
Togo,9488,647
Tuvalu,0,0
Uganda,348146,34941
United Kingdom,45,16
United States,3210,116
Uruguay,3,0
US Minor Pacific Is. Refuges (US),0,0
US Virgin Is (US),0,0
Uzbekistan,1,3
Vanuatu,0,0
Vatican City,0,0
Venezuela,4,6
Vietnam,36,0
Wake I (US),0,0
Wallis & Futuna (Fr),0,0
West Bank (disp),0,0
Western Sahara (disp),0,0
Zambia,76,4
Zimbabwe,3628,13
Yemen,16,4
Ukraine,919,269
Bahrain,0,0
Kuwait,0,0
Qatar,0,0
United Arab Emirates,3,0
Turkey,5,0
Israel,5,3
Bangladesh,56353,3422
Burma,190467,7674
India,370,41
Benin,62610,7263
Niger,12664,944
Nigeria,466,65
